Module,Module Number,Relationship,First Object Name,First Image Number,First Object Number,Second Object Name,Second Image Number,Second Object Number
MeasureObjectNeighbors,14,Neighbors,cell,1,1,cell,1,12
MeasureObjectNeighbors,14,Neighbors,cell,1,1,cell,1,45
MeasureObjectNeighbors,14,Neighbors,cell,1,1,cell,1,72
MeasureObjectNeighbors,14,Neighbors,cell,1,2,cell,1,19
MeasureObjectNeighbors,14,Neighbors,cell,1,3,cell,1,14
MeasureObjectNeighbors,14,Neighbors,cell,1,6,cell,1,20
MeasureObjectNeighbors,14,Neighbors,cell,1,7,cell,1,35
MeasureObjectNeighbors,14,Neighbors,cell,1,8,cell,1,18
MeasureObjectNeighbors,14,Neighbors,cell,1,8,cell,1,48
MeasureObjectNeighbors,14,Neighbors,cell,1,11,cell,1,41
MeasureObjectNeighbors,14,Neighbors,cell,1,12,cell,1,1
MeasureObjectNeighbors,14,Neighbors,cell,1,13,cell,1,16
MeasureObjectNeighbors,14,Neighbors,cell,1,13,cell,1,56
MeasureObjectNeighbors,14,Neighbors,cell,1,14,cell,1,3
MeasureObjectNeighbors,14,Neighbors,cell,1,14,cell,1,22
MeasureObjectNeighbors,14,Neighbors,cell,1,16,cell,1,13
MeasureObjectNeighbors,14,Neighbors,cell,1,16,cell,1,19
MeasureObjectNeighbors,14,Neighbors,cell,1,16,cell,1,56
MeasureObjectNeighbors,14,Neighbors,cell,1,17,cell,1,27
MeasureObjectNeighbors,14,Neighbors,cell,1,17,cell,1,39
MeasureObjectNeighbors,14,Neighbors,cell,1,18,cell,1,8
MeasureObjectNeighbors,14,Neighbors,cell,1,18,cell,1,48
MeasureObjectNeighbors,14,Neighbors,cell,1,19,cell,1,2
MeasureObjectNeighbors,14,Neighbors,cell,1,19,cell,1,16
MeasureObjectNeighbors,14,Neighbors,cell,1,20,cell,1,6
MeasureObjectNeighbors,14,Neighbors,cell,1,20,cell,1,59
MeasureObjectNeighbors,14,Neighbors,cell,1,20,cell,1,60
MeasureObjectNeighbors,14,Neighbors,cell,1,21,cell,1,55
MeasureObjectNeighbors,14,Neighbors,cell,1,22,cell,1,14
MeasureObjectNeighbors,14,Neighbors,cell,1,22,cell,1,51
MeasureObjectNeighbors,14,Neighbors,cell,1,22,cell,1,64
MeasureObjectNeighbors,14,Neighbors,cell,1,26,cell,1,38
MeasureObjectNeighbors,14,Neighbors,cell,1,26,cell,1,46
MeasureObjectNeighbors,14,Neighbors,cell,1,26,cell,1,74
MeasureObjectNeighbors,14,Neighbors,cell,1,26,cell,1,88
MeasureObjectNeighbors,14,Neighbors,cell,1,27,cell,1,17
MeasureObjectNeighbors,14,Neighbors,cell,1,27,cell,1,39
MeasureObjectNeighbors,14,Neighbors,cell,1,27,cell,1,52
MeasureObjectNeighbors,14,Neighbors,cell,1,29,cell,1,30
MeasureObjectNeighbors,14,Neighbors,cell,1,29,cell,1,36
MeasureObjectNeighbors,14,Neighbors,cell,1,30,cell,1,29
MeasureObjectNeighbors,14,Neighbors,cell,1,30,cell,1,36
MeasureObjectNeighbors,14,Neighbors,cell,1,30,cell,1,65
MeasureObjectNeighbors,14,Neighbors,cell,1,31,cell,1,42
