"","Channel_A","Channel_B","Num_Interactions"
"1",1,1,279
"2",1,2,231
"3",1,3,382
"4",1,4,62
"5",1,5,353
"6",1,6,316
"7",1,7,317
"8",1,8,0
"9",1,9,79
"10",1,10,327
"11",1,11,563
"12",1,12,564
"13",2,2,577
"14",2,3,701
"15",2,4,42
"16",2,5,441
"17",2,6,586
"18",2,7,668
"19",2,8,1
"20",2,9,114
"21",2,10,668
"22",2,11,796
"23",2,12,796
"24",3,3,2081
"25",3,4,1050
"26",3,5,1477
"27",3,6,896
"28",3,7,903
"29",3,8,1
"30",3,9,799
"31",3,10,1017
"32",3,11,2129
"33",3,12,2135
"34",4,4,1543
"35",4,5,663
"36",4,6,73
"37",4,7,103
"38",4,8,0
"39",4,9,964
"40",4,10,115
"41",4,11,1437
"42",4,12,1433
"43",5,5,1655
"44",5,6,740
"45",5,7,699
"46",5,8,1
"47",5,9,590
"48",5,10,694
"49",5,11,1761
"50",5,12,1779
"51",6,6,1196
"52",6,7,808
"53",6,8,2
"54",6,9,195
"55",6,10,769
"56",6,11,1221
"57",6,12,1220
"58",7,7,1117
"59",7,8,1
"60",7,9,171
"61",7,10,896
"62",7,11,1172
"63",7,12,1171
"64",8,8,0
"65",8,9,0
"66",8,10,0
"67",8,11,0
"68",8,12,0
"69",9,9,1137
"70",9,10,269
"71",9,11,1399
"72",9,12,1404
"73",10,10,948
"74",10,11,1169
"75",10,12,1175
"76",11,11,3925
"77",11,12,3925
"78",12,12,3931
